vaccine_time,vaccine_amount,12-15,16-49,50-64,65-79
2022-01-19,0.7760243433152733,165977.28172954475,976112.0665393495,325462.9492816966,215113.7024494092
2022-01-20,0.7767350330855833,166129.28515217602,977005.9983680884,325761.0110508433,215310.70542889214
2022-01-21,0.7774600196650305,166284.3463983644,977917.9132511374,326065.06887115387,215511.6714793445
2022-01-23,0.7788837051426083,166588.84644097486,979708.6774012459,326662.1595144738,215906.31664330533
2022-01-24,0.7792586504919026,166669.0403297479,980180.2975029753,326819.4107917719,216010.25137550491
2022-01-25,0.7796866323912196,166760.57775752316,980718.6289352075,326998.90548467793,216128.88782259132
2022-01-26,0.7803470527358557,166901.8294779696,981549.3300246001,327275.88436424837,216311.9561331815
2022-01-27,0.7809429068456812,167029.2716726741,982298.8173203376,327525.7843030789,216477.12670390954
2022-01-28,0.7814658933476485,167141.12883118403,982956.6490489488,327745.1237230739,216622.0983967931
2022-01-29,0.7820760442666106,167271.62884944564,983724.1193989954,328001.0197130682,216791.23203849062
2022-01-30,0.7824551403024281,167352.7104934449,984200.9603874598,328160.0117794138,216896.31733968135
2022-01-31,0.7830592957853005,167481.92819860188,984960.889456667,328413.3932963394,217063.78904839166
2022-02-01,0.7835209443641978,167580.66630765697,985541.5680813056,328607.00772263133,217191.75788840617
2022-02-02,0.7840038075631043,167683.94183231296,986148.9312381452,328809.51951516647,217325.6074143754
2022-02-03,0.7844963556972323,167789.2887858303,986768.4764640331,329016.09314881265,217462.14160132397
2022-02-04,0.784830716556074,167860.8024012798,987189.0478954645,329156.32337764546,217554.82632561016
2022-02-06,0.7853306436884662,167967.7275863105,987817.8746977706,329365.9917473762,217693.40596854294
2022-02-07,0.7855580090724784,168016.35684481607,988103.8632711439,329461.34830298246,217756.43158105764
2022-02-08,0.7859195799874188,168093.69018897114,988558.6605156158,329612.99037112726,217856.65892428576
2022-02-09,0.7862562467832178,168165.6970017685,988982.1324396777,329754.18770498654,217949.98285356708
2022-02-10,0.7865924523916256,168237.60517509637,989405.0242652138,329895.1916178405,218043.17894184936
2022-02-11,0.7869222013765521,168308.13239584997,989819.794711384,330033.48763662047,218134.58525614545
2022-02-12,0.7872602517345257,168380.43512705617,990245.0069310243,330175.2652334956,218228.2927084238
2022-02-13,0.7875434207929103,168440.99976138168,990601.1874260574,330294.0257307416,218306.78708181935
