vaccine_time,vaccine_amount,lambda_v1,lambda_v2,second_dose_time,vaccine_type,dose_type,A1-R1,A1-R2,A2-R1,A2-R2,A3-R1,A3-R2,A4-R1,A4-R2,A5-R1,A5-R2
1/10/21,0.022678,0.8,0.9,21,1,2,0,0,0,0,19695.87,3359.2,5360.5,2326.7,10336.98,8094.76
1/11/21,0.001362,0.8,0.9,21,1,2,0,0,0,0,1183.18,201.8,322.02,139.77,620.97,486.27
1/12/21,0.000068,0.8,0.9,21,1,2,0,0,0,0,58.88,10.04,16.02,6.96,30.9,24.2
1/13/21,0.001359,0.8,0.9,21,1,2,0,0,0,0,1179.97,201.25,321.15,139.39,619.29,484.95
1/14/21,0.003048,0.8,0.9,21,1,2,0,0,0,0,2647.53,451.55,720.56,312.76,1389.5,1088.1
1/15/21,0,0.8,0.9,21,1,2,0,0,0,0,0,0,0,0,0,0
1/16/21,0,0.8,0.9,21,1,2,0,0,0,0,0,0,0,0,0,0
1/17/21,0.003781,0.8,0.9,21,1,2,0,0,0,0,3283.58,560.03,893.67,387.89,1723.32,1349.51
1/18/21,0.004099,0.8,0.9,21,1,2,0,0,0,0,3559.55,607.09,968.78,420.49,1868.16,1462.93
1/19/21,0.000607,0.8,0.9,21,1,2,0,0,0,0,527.5,89.97,143.57,62.31,276.85,216.8
1/21/21,0.002019,0.8,0.9,21,1,2,0,0,0,0,1753.14,299,477.14,207.1,920.1,720.52
1/22/21,0.001797,0.8,0.9,21,1,2,0,0,0,0,1560.48,266.15,424.71,184.34,818.99,641.34
1/23/21,0.002965,0.8,0.9,21,1,2,0,0,0,0,2575.23,439.22,700.89,304.22,1351.56,1058.39
1/24/21,0,0.8,0.9,21,1,2,0,0,0,0,0,0,0,0,0,0
1/25/21,0.002965,0.8,0.9,21,1,2,0,0,0,0,2575.23,439.22,700.89,304.22,1351.56,1058.39
1/26/21,0.000226,0.8,0.9,21,1,2,0,0,0,0,196.66,33.54,53.52,23.23,103.21,80.83
1/27/21,0.001848,0.8,0.9,21,1,2,0,0,0,0,1604.54,273.66,436.7,189.55,842.11,659.45
1/28/21,0.001536,0.8,0.9,21,1,2,0,0,0,0,544.58,821.01,148.21,568.66,700.22,548.33
1/29/21,0.002057,0.8,0.9,21,1,2,0,0,0,0,0,1647.17,0,1140.89,937.48,734.13
1/30/21,0.002057,0.8,0.9,21,1,2,0,0,0,0,0,1647.17,0,1140.89,937.48,734.13
1/31/21,0,0.8,0.9,21,1,2,0,0,0,0,0,0,0,0,0,0
2/1/21,0.002057,0.8,0.9,21,1,2,0,0,0,0,0,1647.17,0,1140.89,937.48,734.13
2/2/21,0.001026,0.8,0.9,21,1,2,0,0,0,0,0,821.8,0,569.21,467.72,366.27
2/3/21,0.001026,0.8,0.9,21,1,2,0,0,0,0,0,821.8,0,569.21,467.72,366.27
2/4/21,0.001433,0.8,0.9,21,1,2,0,0,0,0,0,1147.57,0,794.85,653.13,511.46
2/5/21,0.002489,0.8,0.9,21,1,2,0,0,0,0,0,1993.01,0,1380.43,1134.31,888.26
2/6/21,0.004071,0.8,0.9,21,1,2,0,0,0,0,0,3260.61,0,2258.42,1855.75,1453.22
2/7/21,0,0.8,0.9,21,1,2,0,0,0,0,0,0,0,0,0,0
2/8/21,0.004071,0.8,0.9,21,1,2,0,0,0,0,0,3260.61,0,2258.42,1855.75,1453.22
2/9/21,0.000689,0.8,0.9,21,1,2,0,0,0,0,0,551.81,0,382.2,314.06,245.93
2/10/21,0.001635,0.8,0.9,21,1,2,0,0,0,0,0,1309.71,0,907.15,745.41,583.72
2/11/21,0.001738,0.8,0.9,21,1,2,0,0,0,0,0,1392.26,0,964.33,792.39,620.51
2/12/21,0.001738,0.8,0.9,21,1,2,0,0,0,0,0,1392.26,0,964.33,792.39,620.51
