date,total_deaths,hospital_deaths
10/21/20 0:00,2,1
10/22/20 0:00,2,2
10/23/20 0:00,1,1
10/24/20 0:00,0,0
10/25/20 0:00,0,0
10/26/20 0:00,1,0
10/27/20 0:00,3,2
10/28/20 0:00,5,4
10/29/20 0:00,3,2
10/30/20 0:00,1,1
10/31/20 0:00,3,3
11/1/20 0:00,1,1
11/2/20 0:00,1,1
11/3/20 0:00,0,0
11/4/20 0:00,2,0
11/5/20 0:00,2,2
11/6/20 0:00,3,3
11/7/20 0:00,0,0
11/8/20 0:00,0,0
11/9/20 0:00,1,0
11/10/20 0:00,2,2
11/11/20 0:00,2,0
11/12/20 0:00,1,0
11/13/20 0:00,1,1
11/14/20 0:00,1,1
11/15/20 0:00,2,2
11/16/20 0:00,4,4
11/17/20 0:00,3,3
11/18/20 0:00,2,2
11/19/20 0:00,5,1
11/20/20 0:00,6,6
11/21/20 0:00,1,1
11/22/20 0:00,3,2
11/23/20 0:00,1,1
11/24/20 0:00,4,2
11/25/20 0:00,4,2
11/26/20 0:00,3,3
11/27/20 0:00,7,7
11/28/20 0:00,3,3
11/29/20 0:00,1,1
11/30/20 0:00,1,1
12/1/20 0:00,5,3
12/2/20 0:00,4,3
12/3/20 0:00,2,1
12/4/20 0:00,5,2
12/5/20 0:00,2,1
12/6/20 0:00,4,1
12/7/20 0:00,5,1
12/8/20 0:00,5,2
12/9/20 0:00,4,2
12/10/20 0:00,4,2
12/11/20 0:00,8,3
12/12/20 0:00,9,2
12/13/20 0:00,5,3
12/14/20 0:00,11,4
12/15/20 0:00,4,2
12/16/20 0:00,11,4
12/17/20 0:00,8,4
12/18/20 0:00,6,5
12/19/20 0:00,12,6
12/20/20 0:00,9,6
12/21/20 0:00,5,3
12/22/20 0:00,5,0
12/23/20 0:00,10,1
12/24/20 0:00,6,1
12/25/20 0:00,5,3
12/26/20 0:00,6,2
12/27/20 0:00,6,3
12/28/20 0:00,7,7
12/29/20 0:00,17,6
12/30/20 0:00,14,5
12/31/20 0:00,10,6
1/1/21 0:00,12,8
1/2/21 0:00,16,3
1/3/21 0:00,17,4
1/4/21 0:00,10,2
1/5/21 0:00,14,6
1/6/21 0:00,13,6
1/7/21 0:00,12,5
1/8/21 0:00,19,13
1/9/21 0:00,13,10
1/10/21 0:00,18,8
1/11/21 0:00,17,4
1/12/21 0:00,16,8
1/13/21 0:00,16,7
1/14/21 0:00,16,10
1/15/21 0:00,10,10
1/16/21 0:00,20,14
1/17/21 0:00,16,6
1/18/21 0:00,15,8
1/19/21 0:00,15,5
1/20/21 0:00,14,6
1/21/21 0:00,15,8
1/22/21 0:00,17,8
1/23/21 0:00,16,7
1/24/21 0:00,21,15
1/25/21 0:00,11,7
1/26/21 0:00,14,6
1/27/21 0:00,13,8
1/28/21 0:00,11,6
1/29/21 0:00,14,7
1/30/21 0:00,11,7
1/31/21 0:00,10,6
2/1/21 0:00,15,7
